Player,Squad,Age,90s,xG,npxG,xA,KP,SCA,SuccTkon,PrgC,CPA,ELO
Delano Burgzorg,Middlesbrough,25,24.3,0.32,0.29,0.09,1.03,2.76,38.4,2.88,1.6,1531
Mason Burstow,Hull City,20,10.6,0.19,0.19,0.08,1.13,2.08,35.3,1.51,0.75,1492
Ibrahim Cissoko,Plymouth Argyle,21,7.3,0.21,0.21,0.14,1.51,4.08,45.1,5.34,2.74,1443
Ibrahim Cissoko,Sheffield Weds,21,0.6,0,0,0,0,0,40,1.67,0,1488
Devante Cole,West Brom,29,1.8,0.44,0.44,0,0,1.13,75,1.67,0,1538
James Collins,Derby County,33,2.5,0.2,0.2,0,0,0.8,0,0.4,0,1468
Aaron Connolly,Sunderland,24,2.7,0.26,0.26,0,0,0.37,50,0,0.74,1547
Aaron Connolly,Millwall,24,7.3,0.22,0.11,0.04,0.55,1.5,30,1.78,0.55,1525
Tommy Conway,Middlesbrough,21,26.2,0.47,0.35,0.06,1.07,2.48,31.6,1.95,1.22,1531
Harry Cornick,Bristol City,29,0.4,1.25,1.25,0,0,0,0,0,0,1523
Isaak Davies,Cardiff City,22,3.2,0.5,0.5,0.03,1.25,1.25,37.5,3.13,0.94,1434
Karamoko Dembélé,QPR,21,13.2,0.1,0.1,0.17,1.74,3.64,54.5,1.97,0.53,1493
Siriki Dembélé,Oxford United,27,15.2,0.16,0.16,0.11,1.05,2.95,31.9,2.76,1.25,1461
Emmanuel Dennis,Blackburn,26,1.8,0.06,0.06,0.11,1.11,2.83,33.3,4.44,1.67,1513
Grady Diangana,West Brom,26,16.6,0.22,0.22,0.12,1.08,2.83,47.7,2.29,0.66,1538
Daryl Dike,West Brom,24,2.5,0.28,0.28,0.2,2,3.57,0,0.4,0.8,1538
Lewis Dobbin,West Brom,21,3.8,0.08,0.08,0.03,0.53,1.6,30.8,3.16,1.58,1538
Tyrhys Dolan,Blackburn,22,35.3,0.21,0.18,0.12,1.19,2.81,38.2,2.66,0.88,1513
Amario Duberry,Blackburn,19,8,0.13,0.13,0.1,0.63,2.75,54.8,4.38,1.75,1513
Marcus Edwards,Burnley,25,10.4,0.16,0.16,0.22,1.15,4.13,51.1,4.71,2.69,1730
Aidomo Emakhu,Millwall,20,7.7,0.12,0.12,0.13,1.04,3.49,50,4.81,2.73,1525
Romain Esse,Millwall,19,22.4,0.1,0.1,0.14,1.21,3.12,43.6,1.65,0.76,1525
Ched Evans,Preston,35,1.1,0.82,0.82,0.45,3.64,2.65,33.3,0.91,0,1469
Tom Fellows,West Brom,21,31.9,0.13,0.13,0.21,1.94,3.2,43.5,4.89,2.04,1538
Mads Frøkjær-Jensen,Preston,25,26.2,0.06,0.06,0.16,1.6,2.93,46.7,1.98,0.27,1469
Sam Gallagher,Stoke City,28,11.4,0.3,0.3,0.04,0.61,1.41,22.7,0.7,0.53,1476
Joe Gelhardt,Hull City,22,17.7,0.31,0.22,0.1,1.02,2.94,46.6,2.88,1.13,1492
Will Goodwin,Oxford United,22,0.3,0,0,1,3.33,3.91,0,0,0,1461
Kaide Gordon,Norwich City,19,2,0.2,0.2,0.05,0,2.47,0,3,1,1507
Kaide Gordon,Portsmouth,19,1.7,0,0,0,0,1.17,33.3,1.76,0.59,1479
Karlan Grant,West Brom,26,32.6,0.21,0.21,0.14,1.17,2.8,44.3,3.87,1.87,1538
Sam Greenwood,Preston,22,27,0.23,0.17,0.2,1.7,3.49,41.1,2.3,0.74,1469
Gustavo Hamer,Sheffield Utd,27,34.7,0.17,0.17,0.24,2.07,4.46,43.3,1.61,0.4,1622
Ryan Hardie,Plymouth Argyle,27,25.2,0.48,0.39,0.04,0.63,1.59,40,1.07,0.71,1443
Onel Hernández,Norwich City,31,7.1,0.11,0.11,0.13,1.27,3.1,44.1,5.77,2.68,1507
Yu Hirakawa,Bristol City,23,18.4,0.14,0.14,0.13,1.3,3.32,46.4,3.91,1.68,1523
Andreas Hountondji,Burnley,22,2.3,0.39,0.39,0,0,0.86,40,1.3,0.43,1730
Kelechi Iheanacho,Middlesbrough,27,8.5,0.24,0.24,0.07,1.53,3.89,36.4,1.41,0.71,1531
Frederick Issaka,Plymouth Argyle,18,6.6,0.11,0.11,0.03,0.45,0.91,24.3,2.27,1.97,1443
Mihailo Ivanović,Millwall,19,24.2,0.35,0.32,0.07,0.37,1.49,40.6,0.41,0.37,1525
Eom Jisung,Swansea City,22,25.4,0.24,0.24,0.13,1.42,3.03,42.9,2.17,0.94,1513
Michael Johnston,West Brom,25,23,0.17,0.17,0.22,1.91,4.95,49.4,5.83,2.48,1538
Bae Junho,Stoke City,20,36.2,0.14,0.14,0.12,1.3,2.98,44.9,2.32,0.61,1476
Matěj Jurásek,Norwich City,20,0.9,0,0,0,0,1.08,50,5.56,2.22,1507
Abu Kamara,Hull City,21,25.1,0.2,0.2,0.13,1.24,2.91,39.2,3.23,1.35,1492
Will Keane,Preston,31,12.5,0.22,0.22,0.06,0.4,1.04,25,0.08,0.16,1469
